FID;Num;UMTX;UMTY
0;1;505399;4727059
1;2;505314;4727109
2;3;505206;4727037
3;4;505199;4727232
4;5;504644;4725939
5;6;504607;4725947
6;7;505411;4727896
7;8;505505;4727889
8;9;505662;4728022
9;10;505624;4728009
10;11;505534;4726230
11;12;505569;4726423
12;13;505711;4726486
13;14;505916;4726591
14;15;505940;4726569
15;16;505943;4726627
16;17;505844;4726725
17;18;505871;4726589
18;19;505972;4728772
19;20;505854;4728536
20;21;505053;4726302
21;22;505401;4727502
22;23;505420;4727468
23;24;505412;4727450
24;25;505435;4727453
25;26;505407;4727592
26;27;504788;4726786
27;28;504975;4726944
28;29;505447;4727702
